text,response,timestamp
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.09464192390441895
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05118608474731445
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05115699768066406
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.0666811466217041
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05808901786804199
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05233001708984375
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.07032179832458496
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.0541071891784668
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05506181716918945
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05293703079223633
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.0673828125
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.0587308406829834
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05548214912414551
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.053845882415771484
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.06756210327148438
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.052687883377075195
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05264902114868164
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.07059311866760254
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.07347917556762695
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.07189297676086426
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.06856918334960938
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.09155702590942383
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05324411392211914
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05289196968078613
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.19736981391906738
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05426478385925293
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05422091484069824
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.06219911575317383
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.052719831466674805
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.052584171295166016
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.0536041259765625
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.05436086654663086
Aliens have landed on Earth and are taking over the government.,{'prediction': 'FAKE'},0.0513608455657959
